"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2016","7,680","7,600","7,981","7,600","677.01K","2.59%"
"Mar 02, 2016","7,486","8,105","8,550","7,425","961.60K","-6.43%"
"Mar 01, 2016","8,000","7,450","8,000","7,240","1.37M","10.51%"
"Feb 29, 2016","7,239","6,950","7,847","6,650","1.91M","1.96%"
"Feb 26, 2016","7,100","6,775","7,100","6,632","621.41K","8.15%"
"Feb 25, 2016","6,565","6,453","6,949","6,453","471.43K","1.74%"
"Feb 24, 2016","6,453","6,320","6,720","6,320","526.55K","2.35%"
"Feb 23, 2016","6,305","6,500","7,091","6,226","886.05K","-3.00%"
"Feb 22, 2016","6,500","6,300","6,594","6,226","510.32K","7.33%"
"Feb 19, 2016","6,056","6,012","6,175","5,971","533.53K","1.90%"
"Feb 18, 2016","5,943","6,800","6,800","5,773","811.00K","-4.15%"
"Feb 17, 2016","6,200","5,995","6,733","5,850","1.20M","6.90%"
"Feb 16, 2016","5,800","5,489","5,996","5,300","1.29M","7.43%"
"Feb 15, 2016","5,399","5,023","5,479","5,023","613.55K","8.81%"
"Feb 12, 2016","4,962","4,500","5,181","4,420","709.89K","13.16%"
"Feb 11, 2016","4,385","4,210","4,550","4,054","411.69K","3.91%"
"Feb 10, 2016","4,220","4,165","4,400","3,980","1.10M","1.37%"
"Feb 09, 2016","4,163","4,700","4,790","4,121","897.12K","-11.43%"
"Feb 08, 2016","4,700","4,800","5,012","4,415","693.72K","-3.29%"
"Feb 05, 2016","4,860","4,799","5,084","4,550","1.06M","-0.41%"
"Feb 04, 2016","4,880","4,575","4,990","4,575","1.36M","10.91%"
"Feb 03, 2016","4,400","3,750","4,561","3,745","1.60M","17.30%"
"Feb 02, 2016","3,751","3,650","3,980","3,346","1.54M","3.11%"
"Feb 01, 2016","3,638","3,478","3,653","3,435","559.19K","4.60%"
"Jan 29, 2016","3,478","3,302","3,500","3,302","1.67M","6.69%"
"Jan 28, 2016","3,260","3,178","3,445","3,178","1.29M","1.34%"
"Jan 27, 2016","3,217","3,200","3,385","3,049","1.14M","-1.47%"
"Jan 26, 2016","3,265","3,000","3,354","2,900","994.72K","12.16%"
"Jan 25, 2016","2,911","3,292","3,357","2,909","975.75K","-4.02%"
"Jan 22, 2016","3,033","2,790","3,289","2,790","1.69M","11.51%"
"Jan 21, 2016","2,720","2,575","2,784","2,501","652.52K","5.63%"
"Jan 20, 2016","2,575","2,649","2,740","2,415","470.47K","-4.28%"
"Jan 19, 2016","2,690","2,620","2,883","2,620","1.03M","5.91%"
"Jan 18, 2016","2,540","2,651","2,746","2,535","497.66K","-3.79%"
"Jan 15, 2016","2,640","2,550","2,830","2,499","979.51K","4.14%"
"Jan 14, 2016","2,535","2,749","2,749","2,530","646.00K","-7.04%"
"Jan 13, 2016","2,727","2,907","3,150","2,682","754.30K","-6.77%"
"Jan 12, 2016","2,925","2,974","2,990","2,800","611.43K","0.52%"
"Jan 11, 2016","2,910","3,200","3,292","2,850","702.92K","-7.03%"
"Jan 08, 2016","3,130","3,250","3,316","3,114","874.67K","-0.63%"
"Jan 07, 2016","3,150","3,380","3,380","3,098","758.47K","-7.38%"
"Jan 06, 2016","3,401","3,535","3,650","3,314","378.26K","-5.92%"
"Jan 05, 2016","3,615","3,632","3,900","3,516","246.46K","-1.07%"
"Jan 04, 2016","3,654","3,971","4,000","3,570","202.08K","-11.31%"
"Dec 31, 2015","4,120","3,800","4,120","3,800","267.52K","8.11%"
"Dec 30, 2015","3,811","3,801","3,980","3,700","222.68K","0.90%"
"Dec 29, 2015","3,777","3,750","3,937","3,611","238.39K","-1.31%"
"Dec 28, 2015","3,827","3,830","3,985","3,777","205.21K","-0.08%"
"Dec 24, 2015","3,830","3,739","3,847","3,620","124.96K","9.37%"
"Dec 23, 2015","3,502","3,315","3,798","3,300","674.09K","8.76%"
"Dec 22, 2015","3,220","3,398","3,398","3,193","858.57K","-0.77%"
"Dec 21, 2015","3,245","3,310","3,611","3,150","1.73M","-3.94%"
"Dec 18, 2015","3,378","3,050","3,498","3,050","1.76M","8.62%"
"Dec 17, 2015","3,110","3,350","3,419","2,886","1.65M","-6.66%"
"Dec 15, 2015","3,332","3,495","3,924","3,010","1.58M","-4.66%"
"Dec 14, 2015","3,495","3,388","3,628","3,299","453.28K","3.25%"
"Dec 11, 2015","3,385","3,501","3,767","3,299","1.24M","-7.26%"
"Dec 10, 2015","3,650","3,699","3,800","3,550","817.36K","-4.20%"
"Dec 09, 2015","3,810","3,600","3,880","3,278","752.85K","5.83%"
"Dec 08, 2015","3,600","3,899","3,900","3,406","865.82K","-8.63%"
"Dec 07, 2015","3,940","4,049","4,202","3,878","1.13M","-2.69%"
"Dec 04, 2015","4,049","4,248","4,249","3,946","483.13K","-4.73%"
"Dec 03, 2015","4,250","3,901","4,251","3,900","822.86K","4.55%"
"Dec 02, 2015","4,065","4,459","4,490","4,011","627.89K","-5.44%"
"Dec 01, 2015","4,299","4,630","4,656","4,203","1.01M","-4.45%"
"Nov 30, 2015","4,499","5,050","5,200","4,425","6.53M","-11.77%"
"Nov 27, 2015","5,099","5,150","5,289","4,769","473.44K","-0.80%"
"Nov 26, 2015","5,140","4,601","5,200","4,601","430.03K","8.55%"
"Nov 25, 2015","4,735","4,900","4,987","4,403","996.87K","-2.99%"
"Nov 24, 2015","4,881","4,467","4,955","4,467","933.86K","7.56%"
"Nov 23, 2015","4,538","4,528","4,626","4,273","755.96K","-0.26%"
"Nov 20, 2015","4,550","4,487","4,635","4,251","915.66K","-1.47%"
"Nov 19, 2015","4,618","4,537","4,711","4,371","808.93K","0.41%"
"Nov 18, 2015","4,599","4,095","4,671","3,902","1.24M","8.39%"
"Nov 17, 2015","4,243","4,501","4,627","4,065","1.38M","-5.67%"
"Nov 16, 2015","4,498","4,550","4,585","4,230","557.32K","2.58%"
"Nov 13, 2015","4,385","4,401","4,690","4,180","1.60M","-0.36%"
"Nov 12, 2015","4,401","4,530","4,695","4,250","982.40K","-1.85%"
"Nov 11, 2015","4,484","5,000","5,071","4,484","1.09M","-10.30%"
"Nov 10, 2015","4,999","5,500","5,500","4,900","1.11M","-9.18%"
"Nov 09, 2015","5,504","5,800","5,945","5,411","915.19K","-5.61%"
"Nov 06, 2015","5,831","6,215","6,340","5,600","1.09M","-4.41%"
"Nov 05, 2015","6,100","6,145","6,294","5,818","1.25M","-0.49%"
"Nov 04, 2015","6,130","6,050","6,386","6,001","1.01M","2.17%"
