"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 2017","16,506","16,450","16,769","16,444","3.57M","0.34%"
"Jan 24, 2017","16,450","16,599","16,599","16,240","2.80M","-0.06%"
"Jan 23, 2017","16,460","16,399","16,637","16,179","2.06M","0.98%"
"Jan 20, 2017","16,300","16,300","16,439","16,226","1.68M","-1.21%"
"Jan 19, 2017","16,500","16,605","16,896","16,307","1.72M","-1.55%"
"Jan 18, 2017","16,760","16,653","17,052","16,653","2.26M","0.71%"
"Jan 17, 2017","16,642","16,600","17,000","16,600","1.87M","-1.64%"
"Jan 16, 2017","16,919","16,785","17,242","16,300","865.44K","-1.12%"
"Jan 13, 2017","17,110","16,999","17,110","16,750","1.27M","0.06%"
"Jan 12, 2017","17,100","16,881","17,244","16,703","1.21M","1.30%"
"Jan 11, 2017","16,881","16,768","17,045","16,600","2.28M","0.89%"
"Jan 10, 2017","16,732","16,816","17,180","16,510","1.91M","-1.39%"
"Jan 09, 2017","16,967","17,052","17,179","16,504","478.93K","0.10%"
"Jan 06, 2017","16,950","16,716","16,982","16,421","759.88K","1.62%"
"Jan 05, 2017","16,680","17,120","17,278","16,568","1.16M","-2.85%"
"Jan 04, 2017","17,170","17,000","17,170","16,561","845.71K","1.00%"
"Jan 03, 2017","17,000","16,656","17,099","16,656","480.28K","0.78%"
"Dec 30, 2016","16,869","16,900","17,149","16,631","487.40K","-0.60%"
"Dec 29, 2016","16,970","16,999","17,152","16,700","581.88K","0.81%"
"Dec 28, 2016","16,834","16,500","16,953","16,500","904.06K","2.33%"
"Dec 23, 2016","16,450","16,260","16,500","16,260","234.81K","0.15%"
"Dec 22, 2016","16,426","16,799","16,799","16,250","685.19K","-1.20%"
"Dec 21, 2016","16,625","16,525","16,888","16,460","1.09M","0.61%"
"Dec 20, 2016","16,525","16,520","16,699","16,387","1.57M","-0.21%"
"Dec 19, 2016","16,560","16,512","16,947","16,313","1.26M","0.29%"
"Dec 15, 2016","16,512","16,600","16,849","16,359","4.72M","-2.20%"
"Dec 14, 2016","16,883","16,701","17,155","16,701","1.99M","0.26%"
"Dec 13, 2016","16,840","16,600","16,901","16,600","2.46M","0.62%"
"Dec 12, 2016","16,736","16,800","17,063","16,715","1.40M","-0.53%"
"Dec 09, 2016","16,825","16,740","16,937","16,556","2.10M","0.72%"
"Dec 08, 2016","16,705","16,313","16,705","16,141","2.43M","3.69%"
"Dec 07, 2016","16,111","16,152","16,297","15,812","2.66M","0.91%"
"Dec 06, 2016","15,966","16,130","16,320","15,901","1.91M","-0.92%"
"Dec 05, 2016","16,115","15,803","16,189","15,642","2.51M","2.32%"
"Dec 02, 2016","15,750","15,885","15,885","15,543","1.57M","-1.10%"
"Dec 01, 2016","15,925","15,740","15,994","15,604","1.32M","1.23%"
"Nov 30, 2016","15,731","16,104","16,110","15,724","2.19M","-1.70%"
"Nov 29, 2016","16,003","15,950","16,173","15,950","1.83M","-0.29%"
"Nov 28, 2016","16,050","15,511","16,120","15,511","2.48M","4.08%"
"Nov 25, 2016","15,421","15,690","15,690","15,279","1.53M","0.30%"
"Nov 24, 2016","15,375","15,767","15,767","15,364","2.18M","-2.03%"
"Nov 23, 2016","15,693","16,000","16,201","15,693","2.20M","-1.66%"
"Nov 22, 2016","15,958","15,723","16,033","15,472","2.70M","3.15%"
"Nov 21, 2016","15,471","15,350","15,510","15,293","1.34M","0.39%"
"Nov 18, 2016","15,411","15,121","15,411","14,900","1.04M","0.82%"
"Nov 17, 2016","15,285","15,052","15,457","14,964","1.15M","1.21%"
"Nov 16, 2016","15,102","14,750","15,210","14,750","3.32M","2.39%"
"Nov 15, 2016","14,750","14,380","14,881","14,311","2.37M","2.43%"
"Nov 14, 2016","14,400","14,590","14,946","14,400","3.28M","-1.30%"
"Nov 11, 2016","14,590","14,850","14,996","14,275","3.47M","-3.04%"
"Nov 10, 2016","15,048","15,800","16,043","15,023","4.90M","-3.69%"
"Nov 09, 2016","15,625","15,360","15,886","15,360","1.82M","-2.31%"
"Nov 08, 2016","15,995","15,257","16,042","15,257","2.06M","3.03%"
"Nov 07, 2016","15,525","15,336","15,726","15,299","1.36M","2.10%"
"Nov 04, 2016","15,205","15,315","15,349","15,101","994.60K","-1.26%"
"Nov 03, 2016","15,399","15,760","15,760","15,315","2.50M","-2.15%"
"Nov 02, 2016","15,738","15,599","15,846","15,325","2.10M","0.16%"
"Nov 01, 2016","15,713","15,450","15,780","15,450","1.82M","0.49%"
"Oct 31, 2016","15,636","15,200","15,831","15,200","2.57M","2.87%"
"Oct 28, 2016","15,200","15,308","15,308","15,010","1.43M","-1.07%"
"Oct 27, 2016","15,365","15,400","15,584","15,007","1.37M","-0.74%"
"Oct 26, 2016","15,480","15,417","15,504","15,125","783.32K","1.11%"
"Oct 25, 2016","15,310","15,460","15,550","15,202","1.71M","-0.58%"
"Oct 24, 2016","15,400","15,100","15,544","15,100","1.42M","2.27%"
"Oct 21, 2016","15,058","15,379","15,379","14,881","1.20M","-0.54%"
"Oct 20, 2016","15,140","15,300","15,400","15,001","952.17K","-0.46%"
"Oct 19, 2016","15,210","15,100","15,274","15,053","1.28M","1.00%"
"Oct 18, 2016","15,059","14,910","15,224","14,800","1.89M","2.27%"
"Oct 17, 2016","14,725","14,660","14,806","14,431","1.81M","0.73%"
"Oct 14, 2016","14,618","14,600","15,179","14,426","2.18M","-0.01%"
"Oct 13, 2016","14,619","15,119","15,119","14,565","2.71M","-3.31%"
"Oct 12, 2016","15,119","14,990","15,260","14,796","2.71M","0.46%"
"Oct 11, 2016","15,050","15,461","15,573","14,600","4.44M","-2.90%"
"Oct 10, 2016","15,500","15,637","15,749","15,500","854.33K","-0.88%"
"Oct 07, 2016","15,637","15,681","15,822","15,577","1.69M","-0.28%"
"Oct 06, 2016","15,681","15,599","15,912","15,419","2.69M","1.17%"
"Oct 05, 2016","15,500","15,130","15,538","15,130","1.06M","-0.26%"
"Oct 04, 2016","15,540","15,172","15,564","14,996","2.53M","2.91%"
"Oct 03, 2016","15,100","15,062","15,371","15,012","941.20K","0.00%"
"Sep 30, 2016","15,100","15,221","15,348","15,001","2.66M","-2.95%"
"Sep 29, 2016","15,559","15,400","15,568","15,100","3.50M","2.70%"
"Sep 28, 2016","15,150","15,176","15,390","14,932","1.31M","-0.26%"
"Sep 27, 2016","15,190","15,200","15,396","14,975","1.62M","-0.07%"
"Sep 26, 2016","15,200","15,071","15,460","15,000","1.01M","-1.04%"
"Sep 23, 2016","15,359","15,275","15,377","15,113","1.93M","-0.10%"
"Sep 22, 2016","15,375","15,000","15,651","15,000","2.67M","3.37%"
"Sep 21, 2016","14,874","14,892","15,000","14,501","1.57M","0.77%"
"Sep 20, 2016","14,760","14,755","14,985","14,699","1.30M","-1.10%"
"Sep 19, 2016","14,924","14,562","15,063","14,411","1.54M","2.49%"
"Sep 16, 2016","14,562","14,450","14,830","14,345","1.53M","0.37%"
"Sep 15, 2016","14,508","14,680","14,680","14,335","5.69M","-0.36%"
"Sep 14, 2016","14,560","14,662","14,782","14,396","1.43M","-0.21%"
"Sep 13, 2016","14,590","14,894","14,894","14,491","2.95M","-1.21%"
"Sep 12, 2016","14,768","14,610","14,802","14,501","1.76M","-1.55%"
"Sep 09, 2016","15,000","15,000","15,134","14,760","2.21M","-0.50%"
"Sep 08, 2016","15,076","14,849","15,097","14,666","4.17M","1.52%"
"Sep 07, 2016","14,850","15,020","15,020","14,667","2.93M","-2.80%"
