"Date","Price","Open","High","Low","Change %"
"Jun 25, 2015","12.1045","12.1370","12.1600","12.0485","-0.41%"
"Jun 24, 2015","12.1545","12.1650","12.2094","12.1125","-0.13%"
"Jun 23, 2015","12.1705","12.0955","12.2470","12.0932","0.59%"
"Jun 22, 2015","12.0992","12.1513","12.1933","12.0782","-0.52%"
"Jun 19, 2015","12.1625","12.2390","12.2850","12.1411","-0.68%"
"Jun 18, 2015","12.2457","12.2611","12.3164","12.1362","-0.16%"
"Jun 17, 2015","12.2656","12.3645","12.4557","12.2325","-0.84%"
"Jun 16, 2015","12.3695","12.3992","12.4785","12.3561","-0.28%"
"Jun 15, 2015","12.4037","12.3759","12.4619","12.3759","0.18%"
"Jun 12, 2015","12.3809","12.3511","12.4715","12.3396","0.25%"
"Jun 11, 2015","12.3504","12.3080","12.4875","12.3030","0.33%"
"Jun 10, 2015","12.3099","12.4270","12.4865","12.2865","-0.96%"
"Jun 09, 2015","12.4295","12.4714","12.5550","12.3929","-0.38%"
"Jun 08, 2015","12.4769","12.6100","12.6400","12.4639","-0.82%"
"Jun 05, 2015","12.5805","12.3758","12.6355","12.3636","1.61%"
"Jun 04, 2015","12.3808","12.3050","12.4050","12.2875","0.58%"
"Jun 03, 2015","12.3095","12.2026","12.3275","12.1745","0.88%"
"Jun 02, 2015","12.2026","12.2680","12.3515","12.1778","-0.49%"
"Jun 01, 2015","12.2625","12.1700","12.2955","12.1377","0.88%"
"May 29, 2015","12.1555","12.1290","12.1849","12.1117","0.13%"
"May 28, 2015","12.1395","12.0210","12.2110","11.9765","0.93%"
"May 27, 2015","12.0272","12.0755","12.1699","12.0157","-0.48%"
"May 26, 2015","12.0850","11.9329","12.0970","11.9241","1.04%"
"May 25, 2015","11.9605","11.9070","11.9830","11.8896","0.55%"
"May 22, 2015","11.8950","11.8286","11.9035","11.7647","0.62%"
"May 21, 2015","11.8215","11.8309","11.8770","11.7248","-0.11%"
"May 20, 2015","11.8340","11.9080","11.9746","11.8030","-0.64%"
"May 19, 2015","11.9100","11.8730","11.9465","11.8303","0.27%"
"May 18, 2015","11.8780","11.7753","11.9005","11.7753","0.71%"
"May 15, 2015","11.7940","11.7855","11.8895","11.7525","0.07%"
"May 14, 2015","11.7859","11.8825","11.9355","11.7691","-0.85%"
"May 13, 2015","11.8875","12.0630","12.0680","11.8320","-1.48%"
"May 12, 2015","12.0665","12.0765","12.1535","12.0290","-0.12%"
"May 11, 2015","12.0814","11.9038","12.0926","11.9016","1.30%"
"May 08, 2015","11.9260","12.0100","12.0800","11.9030","-0.74%"
"May 07, 2015","12.0150","12.0123","12.1285","11.9792","-0.02%"
"May 06, 2015","12.0170","11.9727","12.0685","11.9110","0.30%"
"May 05, 2015","11.9815","12.0548","12.0795","11.9388","-0.65%"
"May 04, 2015","12.0597","12.0513","12.0802","12.0120","-0.01%"
"May 01, 2015","12.0605","11.9080","12.0823","11.8589","1.24%"
"Apr 30, 2015","11.9130","11.7813","11.9805","11.7650","1.07%"
"Apr 29, 2015","11.7874","11.8595","11.9007","11.7059","-0.66%"
"Apr 28, 2015","11.8655","12.0010","12.0347","11.7960","-1.17%"
"Apr 27, 2015","12.0060","12.1288","12.1507","11.9478","-0.99%"
"Apr 24, 2015","12.1255","12.1448","12.2422","12.0958","-0.18%"
"Apr 23, 2015","12.1475","12.2155","12.3060","12.1252","-0.61%"
"Apr 22, 2015","12.2219","12.1170","12.2517","12.0650","0.84%"
"Apr 21, 2015","12.1202","12.1387","12.2005","12.0710","-0.12%"
"Apr 20, 2015","12.1350","12.0528","12.1564","11.9779","0.56%"
"Apr 17, 2015","12.0670","11.9590","12.1025","11.8700","0.86%"
"Apr 16, 2015","11.9640","12.0580","12.1015","11.9280","-0.82%"
"Apr 15, 2015","12.0630","12.0031","12.2095","11.9940","0.46%"
"Apr 14, 2015","12.0083","12.1336","12.1658","11.9497","-1.07%"
"Apr 13, 2015","12.1386","11.9888","12.1955","11.9888","1.19%"
"Apr 10, 2015","11.9953","11.9440","12.0625","11.9197","0.39%"
"Apr 09, 2015","11.9490","11.8125","11.9666","11.7699","1.11%"
"Apr 08, 2015","11.8175","11.8795","11.8926","11.7672","-0.56%"
"Apr 07, 2015","11.8837","11.7960","11.8904","11.7693","0.62%"
"Apr 06, 2015","11.8100","11.7719","11.8295","11.6890","0.10%"
"Apr 03, 2015","11.7980","11.9430","11.9765","11.7477","-1.24%"
"Apr 02, 2015","11.9465","11.9815","12.0495","11.9166","-0.33%"
"Apr 01, 2015","11.9865","12.1255","12.1515","11.9540","-1.19%"
"Mar 31, 2015","12.1305","12.1491","12.2358","12.1023","-0.16%"
"Mar 30, 2015","12.1495","12.0285","12.1696","12.0238","0.87%"
"Mar 27, 2015","12.0450","11.9913","12.0566","11.9526","0.40%"
"Mar 26, 2015","11.9972","11.8473","12.0008","11.8302","1.22%"
"Mar 25, 2015","11.8530","11.7947","11.8857","11.7501","0.44%"
"Mar 24, 2015","11.8011","11.8981","11.9573","11.7674","-0.85%"
"Mar 23, 2015","11.9017","12.0378","12.1385","11.8800","-0.94%"
"Mar 20, 2015","12.0150","12.3065","12.3170","12.0008","-2.41%"
"Mar 19, 2015","12.3115","12.0540","12.3600","12.0340","2.07%"
"Mar 18, 2015","12.0615","12.3520","12.4035","11.9555","-2.39%"
"Mar 17, 2015","12.3570","12.3881","12.4260","12.3455","-0.32%"
"Mar 16, 2015","12.3965","12.4905","12.4955","12.3620","-0.66%"
"Mar 13, 2015","12.4790","12.2920","12.5295","12.2580","1.47%"
"Mar 12, 2015","12.2980","12.2735","12.3390","12.1434","0.16%"
"Mar 11, 2015","12.2785","12.3605","12.3868","12.2310","-0.72%"
"Mar 10, 2015","12.3680","12.0835","12.3680","12.0835","2.30%"
"Mar 09, 2015","12.0898","12.0405","12.1348","12.0067","0.42%"
"Mar 06, 2015","12.0395","11.8375","12.1085","11.7637","1.64%"
"Mar 05, 2015","11.8457","11.8105","11.8795","11.7257","0.26%"
"Mar 04, 2015","11.8155","11.7510","11.8645","11.7190","0.51%"
"Mar 03, 2015","11.7560","11.7670","11.8207","11.7014","-0.14%"
"Mar 02, 2015","11.7725","11.6500","11.7810","11.6500","0.90%"
"Feb 27, 2015","11.6680","11.5295","11.6965","11.4860","1.16%"
