"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2017","53,510.22","53,425.62","53,544.71","53,331.20","240.77M","-0.08%"
"Apr 12, 2017","53,551.31","53,699.66","54,002.95","53,432.45","282.81M","0.03%"
"Apr 11, 2017","53,535.16","53,143.23","53,631.78","53,125.57","289.35M","0.74%"
"Apr 10, 2017","53,139.96","53,134.66","53,227.76","53,024.05","276.70M","0.54%"
"Apr 07, 2017","52,853.36","52,583.99","52,853.36","52,416.97","232.25M","-0.12%"
"Apr 06, 2017","52,918.42","52,806.86","52,918.42","52,530.01","312.88M","-0.14%"
"Apr 05, 2017","52,990.08","52,754.32","53,062.48","52,717.79","341.63M","0.63%"
"Apr 04, 2017","52,660.74","52,662.66","53,050.21","52,614.51","316.44M","0.39%"
"Apr 03, 2017","52,457.76","52,267.64","52,565.70","52,215.17","323.40M","0.77%"
"Mar 31, 2017","52,056.06","52,625.83","52,625.83","52,000.89","531.75M","-0.39%"
"Mar 30, 2017","52,261.18","52,388.50","52,480.80","52,038.42","206.48M","-0.35%"
"Mar 29, 2017","52,444.78","52,535.31","52,551.70","52,062.53","281.48M","0.26%"
"Mar 28, 2017","52,309.23","52,244.91","52,309.23","52,013.56","284.97M","1.13%"
"Mar 27, 2017","51,724.92","51,311.14","51,752.75","51,278.28","221.01M","-0.18%"
"Mar 24, 2017","51,816.31","52,007.55","52,117.42","51,759.69","210.43M","-0.41%"
"Mar 23, 2017","52,027.98","52,022.26","52,195.33","51,865.82","190.12M","-0.13%"
"Mar 22, 2017","52,096.71","52,038.47","52,222.00","51,776.16","243.59M","-1.25%"
"Mar 20, 2017","52,753.56","52,686.62","52,866.34","52,487.05","144.30M","0.39%"
"Mar 17, 2017","52,550.99","52,682.99","52,682.99","52,442.04","455.70M","-0.38%"
"Mar 16, 2017","52,748.97","52,082.62","52,762.26","52,082.62","673.84M","2.03%"
"Mar 15, 2017","51,701.60","51,814.83","51,863.87","51,576.51","263.13M","0.00%"
"Mar 14, 2017","51,699.46","51,778.34","52,057.66","51,601.34","240.62M","-0.30%"
"Mar 13, 2017","51,855.38","51,471.95","51,855.38","51,344.10","180.74M","1.14%"
"Mar 10, 2017","51,269.54","51,197.65","51,384.17","50,992.93","199.60M","0.70%"
"Mar 09, 2017","50,910.71","50,973.34","51,111.08","50,737.28","269.35M","-0.76%"
"Mar 08, 2017","51,299.99","51,309.24","51,474.33","51,162.52","253.76M","-0.15%"
"Mar 07, 2017","51,377.78","51,428.09","51,615.85","51,318.97","233.34M","-0.23%"
"Mar 06, 2017","51,498.14","51,805.75","51,805.75","51,426.59","192.49M","-0.41%"
"Mar 03, 2017","51,708.61","51,721.98","51,832.31","51,326.32","232.81M","-0.36%"
"Mar 02, 2017","51,893.19","51,802.36","52,009.14","51,708.45","263.64M","0.41%"
"Mar 01, 2017","51,682.19","51,273.18","51,690.13","51,015.41","253.22M","1.05%"
"Feb 28, 2017","51,146.05","51,439.38","51,563.16","51,146.05","306.24M","-0.68%"
"Feb 27, 2017","51,497.16","51,607.08","51,806.13","51,354.54","186.22M","-0.22%"
"Feb 24, 2017","51,609.86","51,830.59","52,027.13","51,531.56","224.37M","-1.10%"
"Feb 23, 2017","52,183.10","51,900.39","52,354.36","51,640.16","281.20M","0.18%"
"Feb 22, 2017","52,088.56","52,651.22","52,744.94","51,939.20","278.93M","-0.95%"
"Feb 21, 2017","52,586.61","52,661.88","52,700.01","52,286.24","251.04M","0.05%"
"Feb 20, 2017","52,558.61","52,317.09","52,691.66","52,317.09","182.56M","0.64%"
"Feb 17, 2017","52,223.54","52,439.77","52,481.65","52,212.69","208.91M","-0.69%"
"Feb 16, 2017","52,586.37","52,571.79","52,642.10","52,264.66","-","0.19%"
"Feb 15, 2017","52,485.16","52,686.88","52,686.88","52,323.55","249.20M","0.04%"
"Feb 14, 2017","52,465.64","52,821.03","52,886.01","52,332.66","244.69M","-0.93%"
"Feb 13, 2017","52,956.71","52,811.34","53,119.41","52,792.09","203.61M","0.51%"
"Feb 10, 2017","52,687.29","52,261.25","52,687.29","52,214.24","309.55M","1.51%"
"Feb 09, 2017","51,904.34","51,919.60","52,225.81","51,820.36","227.23M","0.19%"
"Feb 08, 2017","51,803.48","52,149.99","52,182.85","51,706.02","239.86M","-0.73%"
"Feb 07, 2017","52,181.91","52,181.34","52,181.91","51,876.60","199.88M","0.06%"
"Feb 06, 2017","52,151.16","52,346.06","52,516.75","52,113.79","176.88M","-0.22%"
"Feb 03, 2017","52,265.16","52,520.59","52,528.49","52,186.96","210.58M","-0.86%"
"Feb 02, 2017","52,719.58","52,973.53","53,011.10","52,646.27","272.68M","-0.72%"
"Feb 01, 2017","53,104.12","53,115.48","53,287.26","52,960.97","251.86M","0.60%"
"Jan 31, 2017","52,788.12","52,482.51","52,960.49","52,373.03","216.67M","0.24%"
"Jan 30, 2017","52,660.94","52,997.77","53,017.91","52,570.58","204.79M","-0.59%"
"Jan 27, 2017","52,973.83","53,444.17","53,480.69","52,843.29","230.57M","-0.81%"
"Jan 26, 2017","53,405.74","53,433.74","53,569.74","53,160.04","255.89M","0.29%"
"Jan 25, 2017","53,250.79","53,588.30","53,738.29","53,243.72","231.17M","-0.17%"
"Jan 24, 2017","53,342.04","53,186.65","53,342.04","53,046.76","257.43M","0.57%"
"Jan 23, 2017","53,040.48","52,550.44","53,040.48","52,470.54","188.16M","0.97%"
"Jan 20, 2017","52,532.26","52,802.36","52,802.36","52,399.33","179.53M","-0.70%"
