"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2017","82,450","81,829","82,450","81,501","226.69K","0.76%"
"Mar 10, 2017","81,829","82,134","82,810","81,725","299.87K","0.36%"
"Mar 09, 2017","81,537","81,126","82,201","81,004","405.59K","0.80%"
"Mar 08, 2017","80,888","80,600","81,657","80,401","2.61M","0.36%"
"Mar 07, 2017","80,600","80,548","81,190","80,410","827.18K","0.06%"
"Mar 06, 2017","80,548","81,850","81,993","80,547","595.59K","-1.31%"
"Mar 03, 2017","81,619","82,792","82,867","81,208","776.04K","-1.42%"
"Mar 02, 2017","82,792","82,600","83,169","82,000","428.22K","0.26%"
"Mar 01, 2017","82,575","82,132","83,180","81,900","568.60K","0.54%"
"Feb 28, 2017","82,132","81,866","82,549","81,621","451.76K","1.26%"
"Feb 27, 2017","81,114","81,710","82,426","81,086","365.61K","-0.73%"
"Feb 24, 2017","81,710","81,550","82,104","81,301","522.46K","1.53%"
"Feb 23, 2017","80,480","80,500","81,700","80,100","522.63K","-1.11%"
"Feb 22, 2017","81,385","81,572","82,021","80,874","512.80K","0.07%"
"Feb 21, 2017","81,325","80,801","81,800","80,500","741.90K","0.65%"
"Feb 20, 2017","80,801","81,150","82,184","80,801","442.12K","-0.07%"
"Feb 17, 2017","80,859","80,400","82,300","80,372","476.94K","0.68%"
"Feb 16, 2017","80,316","80,014","80,999","80,000","298.33K","-0.07%"
"Feb 15, 2017","80,376","81,040","81,390","79,659","859.41K","-1.26%"
"Feb 14, 2017","81,400","83,400","83,400","81,250","1.99M","-2.48%"
"Feb 13, 2017","83,470","83,992","83,998","83,075","315.31K","-0.62%"
"Feb 10, 2017","83,992","84,500","85,290","83,310","471.46K","-0.24%"
"Feb 09, 2017","84,193","84,321","85,018","83,849","422.99K","-0.15%"
"Feb 08, 2017","84,321","83,400","84,678","83,350","697.03K","1.46%"
"Feb 07, 2017","83,106","82,932","83,442","82,410","826.31K","0.31%"
"Feb 06, 2017","82,847","81,900","83,148","81,900","344.62K","1.16%"
